"X" "sample" "subsid" "pid" "name" "id" "complete" "user_las" "ip" "date" "time_in" "time_out" "user_bro" "user_set" "user_lan" "user_com" "IMP_Orde" "DCE_pg1" "DCE_leas" "DCE_most" "DCE_pg2" "DCE_leas" "DCE_most" "DCE_pg3" "DCE_leas" "DCE_most" "DCE_pg4" "DCE_leas" "DCE_most" "DCE_pg5" "DCE_leas" "DCE_most" "DCE_pg6" "DCE_leas" "DCE_most" "DCE_pg7" "DCE_leas" "DCE_most" "DCE_pg8" "DCE_leas" "DCE_most" "DCE_pg9" "DCE_leas" "DCE_most" "DCE_pg10" "DCE_leas" "DCE_most" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "ocean_da" "rec_swim" "rec_boat" "rec_surf" "rec_scub" "rec_powe" "rec_recf" "rec_sigh" "rec_none" "rec_othe" "rec_spec" "jobs_com" "jobs_aqu" "jobs_fir" "jobs_tou" "jobs_tra" "jobs_por" "jobs_gov" "jobs_non" "jobs_oth" "jobs_spe" "seafood_" "foodprov" "foodprov" "aborigin" "aborigin" "nonfood_" "nonfood_" "carbonst" "carbonst" "coastalp" "coastalp" "coastall" "coastall" "tourismr" "tourismr" "icons_ge" "icons_xx" "cleanwat" "cleanwat" "biodiver" "biodiver" "demoone_" "demoone_" "demotwo_" "demotwo_" "envr_org" "envr_pro" "politica" "demothre" "demothre" "demothre" "comments"
"1225" 1135 "ON" 410114455 "" "English11759" 11759 "y" "hco_thankyou.php" "" "24/03/2014" "17:33:30" "17:42:42" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:27.0) Gecko/20100101 Firefox/27.0" "11" "English" 1151 54321 10 7 1 6 7 6 7 7 5 1 7 1 3 3 5 5 2 6 4 2 1 2 2 1 9 7 9 8 3 1 "" "" "checked" "" "" "" "" "checked" "checked" "checked" "morethan100" "" "1" "" "" "" "" "1" "" "1" "bird watching, shore hiking" "" "" "" "1" "" "" "" "" "1" "Camp co-ordinator" "3month" "5" "" "5" "" "3" "" "4" "" "5" "" "5" "" "3" "" "5" "" "5" "" "5" "" "female" "college" "morethan20" "V5H" "yes" "yes" "dontknow" "3" "2" "25to34" ""
"1226" 1136 "PR" 410078268 "" "English11760" 11760 "y" "hco_thankyou.php" "" "24/03/2014" "17:33:56" "17:46:11" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET CLR 1.1.4322; InfoPath.3; MS-RTC LM 8; .NET4.0C; .NET4.0E)" "11" "English" 1152 12345 7 7 9 5 2 9 9 2 9 8 3 9 10 7 4 6 2 8 4 2 4 1 7 10 3 3 4 2 2 9 "checked" "" "" "checked" "" "" "" "" "" "checked" "none" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "7to11yr" "4" "" "3" "" "3" "" "4" "" "4" "" "4" "" "4" "" "4" "" "4" "" "4" "" "female" "college" "morethan20" "T0A" "no" "no" "dontknow" "9" "2" "45to54" ""
"1227" 1140 "ON" 410110524 "" "English11764" 11764 "y" "hco_thankyou.php" "" "24/03/2014" "17:37:49" "17:51:15" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 1156 12345 4 5 6 10 7 1 2 1 9 3 3 10 7 7 9 8 3 9 6 3 8 1 7 1 9 7 9 5 5 9 "" "" "" "" "" "" "" "" "" "" "none" "1" "" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "4" "" "4" "" "3" "" "5" "" "5" "" "5" "" "4" "" "5" "" "5" "" "4" "" "male" "college" "morethan20" "k0k" "no" "no" "noresponse" "3" "4" "45to54" ""
"1228" 1141 "ON" 410101831 "" "English11765" 11765 "y" "hco_thankyou.php" "" "24/03/2014" "17:39:55" "18:14:03" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "11" "English" 1157 54321 10 1 10 1 3 10 4 1 5 3 3 10 7 7 9 8 1 9 2 1 9 6 3 6 5 2 9 9 3 9 "" "" "" "" "" "" "" "" "" "" "none" "1" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "Never" "3" "" "3" "" "3" "" "4" "" "4" "" "4" "" "3" "" "4" "" "4" "" "4" "" "male" "bachelors" "morethan20" "K1T" "no" "no" "CPC" "7" "3" "35to44" ""
"1229" 1145 "PR" 410101408 "" "English11769" 11769 "y" "hco_thankyou.php" "" "24/03/2014" "17:42:45" "17:53:38" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "11" "English" 1161 54321 9 7 9 8 3 8 10 7 10 2 2 9 6 7 8 4 2 5 3 5 8 5 2 9 1 7 10 7 7 9 "" "" "" "" "" "" "" "" "" "" "50to100" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "5" "" "5" "" "3" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "female" "college" "morethan20" "t3g" "no" "no" "dontknow" "6" "4" "35to44" "no"
"1230" 1146 "PR" 410133182 "" "English11770" 11770 "y" "hco_thankyou.php" "" "24/03/2014" "17:44:41" "17:52:04" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 1162 12345 1 3 1 10 4 1 5 10 9 9 4 9 4 4 1 6 3 6 7 4 9 8 3 1 3 4 10 2 8 1 "" "" "" "" "" "" "" "" "" "" "5to9" "1" "" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "5" "" "3" "" "3" "" "3" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "male" "somepost" "morethan20" "R1N" "no" "no" "noresponse" "5" "2" "45to54" ""
"1231" 1148 "ON" 410167034 "" "English11772" 11772 "y" "hco_thankyou.php" "" "24/03/2014" "17:45:51" "17:52:39" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36" "11" "English" 1164 12345 2 2 9 8 8 9 9 2 9 10 7 1 5 2 9 1 7 1 4 2 1 7 7 9 3 5 3 6 2 3 "" "" "" "" "" "" "" "" "" "" "none" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "4" "" "3" "" "3" "" "4" "" "4" "" "4" "" "4" "" "5" "" "4" "" "5" "" "female" "somepost" "morethan20" "N0L" "no" "no" "dontknow" "2" "3" "35to44" "none"
"1232" 1149 "PR" 410138053 "" "English11773" 11773 "y" "hco_thankyou.php" "" "24/03/2014" "17:46:36" "18:04:51" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-ca; 801a Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "11" "English" 1165 54321 6 2 6 2 2 1 7 7 4 9 2 4 3 3 4 5 2 6 4 2 6 10 7 1 1 5 1 8 3 6 "" "" "" "" "" "" "" "" "" "" "morethan100" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "3" "" "2" "" "3" "" "4" "" "4" "" "4" "" "4" "" "5" "" "4" "" "4" "" "male" "HS" "morethan20" "s7n" "no" "no" "CPC" "4" "1" "35to44" ""
"1233" 1151 "PR" 410157516 "" "English11775" 11775 "y" "hco_thankyou.php" "" "24/03/2014" "17:48:55" "17:55:10" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 1167 54321 10 7 10 6 7 2 5 5 9 3 3 10 4 5 1 9 3 9 7 8 9 8 3 9 2 8 9 1 3 10 "" "" "" "" "" "" "" "" "" "" "5to9" "" "" "" "" "1" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "Never" "2" "" "5" "" "1" "" "4" "" "3" "" "4" "" "4" "" "3" "" "5" "" "5" "" "female" "graduate" "morethan20" "R3T" "no" "yes" "NDP" "6" "2" "35to44" ""
"1234" 1152 "ON" 410127204 "" "English11776" 11776 "y" "hco_thankyou.php" "" "24/03/2014" "17:49:55" "17:56:29" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "11" "English" 1168 12345 2 2 9 1 10 7 3 3 5 6 3 6 7 8 9 4 2 6 9 2 9 10 10 7 5 2 9 8 3 9 "" "" "" "" "" "" "" "" "" "" "5to9" "1" "1" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "4" "" "3" "" "2" "" "2" "" "4" "" "4" "" "4" "" "4" "" "5" "" "4" "" "male" "bachelors" "morethan20" "k0l" "no" "no" "CPC" "8" "4" "45to54" ""
"1235" 1153 "ON" 410192950 "" "English11777" 11777 "y" "hco_thankyou.php" "" "24/03/2014" "17:50:35" "17:58:04" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:27.0) Gecko/20100101 Firefox/27.0" "11" "English" 1169 54321 8 3 9 9 4 9 6 2 6 5 2 9 2 2 9 7 4 9 4 4 6 3 4 10 10 4 6 1 3 10 "" "" "" "" "" "" "" "" "" "" "none" "1" "" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "5" "" "4" "" "4" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "male" "graduate" "2to5" "M6M" "no" "dontknow" "liberal" "1" "2" "35to44" ""
"1236" 1156 "PR" 410078309 "" "English11780" 11780 "y" "hco_thankyou.php" "" "24/03/2014" "17:51:35" "18:08:03" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36" "11" "English" 1172 12345 1 3 10 2 2 9 9 2 9 8 3 6 5 2 10 10 7 4 7 7 5 4 2 6 3 3 10 6 3 6 "" "" "" "" "" "" "" "" "" "" "5to9" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3to6yr" "5" "" "3" "" "4" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "female" "college" "morethan20" "T1V" "no" "no" "noparty" "5" "1" "35to44" ""
"1237" 1159 "PR" 410099849 "" "English11783" 11783 "y" "hco_thankyou.php" "" "24/03/2014" "17:56:28" "18:18:58" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; WOW64; Trident/5.0)" "11" "English" 1175 54321 1 3 7 4 2 1 5 2 9 3 3 8 8 3 9 10 4 7 7 4 9 6 2 6 9 2 9 2 2 1 "" "" "" "" "" "" "" "" "" "" "lessthan5" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "5" "" "2" "" "3" "" "4" "" "4" "" "4" "" "5" "" "5" "" "5" "" "4" "" "female" "graduate" "2to5" "T5W" "no" "no" "liberal" "5" "2" "35to44" ""
"1238" 1160 "PR" 410192855 "" "English11784" 11784 "y" "hco_thankyou.php" "" "24/03/2014" "17:58:34" "18:13:39" "Mozilla/5.0 (Linux; U; Android 4.1.1; en-ca; Arc Build/JRO03L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30" "11" "English" 1176 12345 3 3 4 1 3 1 7 5 9 6 3 8 4 2 4 10 7 10 5 2 9 8 3 9 2 2 9 9 3 4 "checked" "" "" "checked" "checked" "" "" "" "checked" "" "none" "1" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "4" "" "1" "" "3" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "female" "bachelors" "morethan20" "T2Y" "no" "no" "NDP" "6" "4" "25to34" ""
"1239" 1163 "PR" 410169034 "" "English11787" 11787 "y" "hco_thankyou.php" "" "24/03/2014" "17:59:38" "18:16:24" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E; IPH 1.1.21.4019)" "11" "English" 1179 54321 9 2 9 6 2 6 10 10 6 3 5 8 5 2 9 2 2 9 1 3 5 4 2 6 8 3 9 7 5 9 "" "" "" "" "" "" "" "" "" "" "morethan100" "1" "" "" "" "" "" "" "" "1" "house boating" "" "" "" "" "" "" "" "1" "" "" "1to2yr" "4" "" "3" "" "2" "" "3" "" "3" "" "5" "" "4" "" "4" "" "4" "" "4" "" "male" "somepost" "morethan20" "t3j" "no" "no" "noresponse" "5" "7" "45to54" ""
"1240" 1166 "PR" 410142063 "" "English11791" 11791 "y" "hco_thankyou.php" "" "24/03/2014" "18:02:36" "18:12:30" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)" "11" "English" 1183 54321 6 2 8 8 3 9 2 2 9 4 2 5 1 3 10 7 7 9 9 2 9 10 7 10 3 3 5 5 2 9 "" "" "" "checked" "" "" "" "" "" "" "10to29" "1" "" "" "" "1" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3to6yr" "5" "" "4" "" "4" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "male" "HS" "morethan20" "t5t" "yes" "no" "CPC" "6" "2" "45to54" ""
"1241" 1168 "PR" 410057317 "" "English11792" 11792 "y" "hco_thankyou.php" "" "24/03/2014" "18:05:56" "18:14:58" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "11" "English" 1184 12345 6 2 8 5 2 9 10 6 1 3 3 8 1 3 1 8 3 8 9 2 9 7 7 9 4 2 1 2 2 9 "" "" "" "" "" "" "" "" "" "" "lessthan5" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "1" "" "5" "" "5" "" "5" "" "3" "" "5" "" "5" "" "5" "" "5" "" "female" "bachelors" "morethan20" "t3c" "no" "no" "CPC" "9" "2" "35to44" ""
"1242" 1170 "MR" 410134432 "" "English11794" 11794 "y" "hco_thankyou.php" "" "24/03/2014" "18:08:12" "18:15:52" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 1186 12345 1 1 10 7 8 9 6 2 6 4 2 1 10 7 1 5 2 9 8 8 6 2 10 9 9 4 9 3 10 3 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "3to6yr" "5" "" "4" "" "5" "" "5" "" "5" "" "5" "" "" "" "5" "" "5" "" "" "" "female" "college" "morethan20" "A0A" "no" "no" "noresponse" "9" "2" "45to54" ""
"1243" 1171 "BC" 410127401 "" "English11795" 11795 "y" "hco_thankyou.php" "" "24/03/2014" "18:11:35" "18:16:47" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36" "11" "English" 1187 54321 9 2 9 4 2 5 7 7 9 10 7 10 6 2 8 3 3 5 2 2 9 5 2 9 8 3 9 1 7 10 "" "" "" "" "" "" "" "" "" "" "lessthan5" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "7to11yr" "4" "" "3" "" "3" "" "5" "" "5" "" "3" "" "3" "" "5" "" "5" "" "5" "" "female" "college" "morethan20" "V1H" "no" "no" "dontknow" "2" "1" "35to44" ""
"1244" 1172 "ON" 410076827 "" "English11796" 11796 "y" "hco_thankyou.php" "" "24/03/2014" "18:15:13" "18:20:28" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDRJS; rv:11.0) like Gecko" "11" "English" 1188 12345 8 3 9 2 2 9 3 4 5 1 3 5 6 2 8 7 4 9 4 2 5 5 2 9 10 4 10 9 2 9 "" "" "" "" "" "" "" "" "" "" "morethan100" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2yr" "4" "" "1" "" "4" "" "4" "" "4" "" "" "" "4" "" "4" "" "5" "" "5" "" "female" "college" "morethan20" "N1R" "no" "no" "CPC" "9" "4" "45to54" ""
"1245" 1173 "BC" 410089135 "" "English11797" 11797 "y" "hco_thankyou.php" "" "24/03/2014" "18:16:06" "18:24:23" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36" "11" "English" 1189 54321 2 1 9 10 1 6 5 2 5 3 3 5 4 1 5 9 3 9 8 3 9 1 3 7 7 8 5 6 3 7 "" "" "" "" "" "" "" "" "" "" "lessthan5" "" "" "" "" "" "" "" "" "1" "walking/sitting on beach" "" "" "" "" "" "" "" "1" "" "" "3to6yr" "3" "" "4" "" "2" "" "4" "" "5" "" "5" "" "4" "" "5" "" "5" "" "4" "" "female" "graduate" "morethan20" "V2R" "no" "no" "NDP" "4" "1" "25to34" ""
"1246" 1174 "ON" 410020979 "" "English11798" 11798 "y" "hco_thankyou.php" "" "24/03/2014" "18:17:17" "18:24:11" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.3)" "11" "English" 1190 12345 6 3 6 5 2 6 3 8 5 2 2 1 9 3 7 4 2 1 1 3 5 8 3 9 10 7 1 7 5 9 "" "" "" "" "" "" "" "" "" "" "5to9" "1" "" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "3" "" "4" "" "3" "" "4" "" "4" "" "4" "" "3" "" "4" "" "4" "" "3" "" "male" "college" "morethan20" "k1y" "no" "no" "liberal" "6" "2" "45to54" ""
"1247" 1175 "PR" 410214074 "" "English11799" 11799 "y" "hco_thankyou.php" "" "24/03/2014" "18:19:44" "18:27:51" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 1191 54321 1 7 5 9 7 9 5 2 9 4 6 5 10 7 10 6 7 8 3 4 10 7 7 9 8 1 9 2 2 9 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "7to11yr" "4" "" "3" "" "4" "" "4" "" "5" "" "3" "" "3" "" "4" "" "5" "" "5" "" "male" "HS" "morethan20" "T0E" "no" "yes" "NDP" "5" "2" "45to54" ""
"1248" 1176 "ON" 410134095 "" "English11800" 11800 "y" "hco_thankyou.php" "" "24/03/2014" "18:20:53" "18:27:15" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)" "11" "English" 1192 12345 5 2 9 8 3 9 9 2 9 2 2 9 4 2 6 1 7 1 7 7 9 10 7 1 3 5 10 6 2 6 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "3" "" "2" "" "4" "" "4" "" "3" "" "4" "" "3" "" "4" "" "5" "" "4" "" "female" "college" "morethan20" "L0G" "yes" "no" "CPC" "5" "5" "35to44" ""
"1249" 1178 "PR" 410135173 "" "English11802" 11802 "y" "hco_thankyou.php" "" "24/03/2014" "18:22:42" "18:39:47" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36" "11" "English" 1194 12345 6 2 7 5 2 9 7 4 9 1 3 5 8 3 9 3 3 5 4 2 5 9 2 9 2 2 9 10 4 6 "" "" "" "" "" "" "" "" "" "" "10to29" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "Never" "4" "" "1" "" "3" "" "4" "" "4" "" "3" "" "4" "" "5" "" "5" "" "5" "" "female" "bachelors" "morethan20" "t2w" "no" "no" "CPC" "6" "" "35to44" ""
"1250" 1179 "ON" 410042193 "" "English11803" 11803 "y" "hco_thankyou.php" "" "24/03/2014" "18:23:20" "18:34:00" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53" "11" "English" 1195 54321 9 7 4 10 7 4 6 7 8 1 7 5 8 3 9 2 1 9 3 3 5 7 7 9 4 6 5 5 6 9 "" "" "" "" "" "" "" "" "" "" "none" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "4" "" "4" "" "3" "" "5" "" "5" "" "3" "" "3" "" "4" "" "4" "" "5" "" "female" "somepost" "morethan20" "M8V" "no" "yes" "green" "4" "1" "35to44" ""
"1251" 1184 "ON" 410213197 "" "English11808" 11808 "y" "hco_thankyou.php" "" "24/03/2014" "18:27:40" "18:33:20" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0" "11" "English" 1200 12345 5 6 5 8 6 8 9 7 9 2 1 10 4 6 5 1 7 10 7 7 5 10 6 10 3 3 5 6 3 8 "" "" "" "" "" "" "" "" "" "" "none" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2yr" "5" "" "5" "" "3" "" "5" "" "5" "" "2" "" "3" "" "5" "" "5" "" "5" "" "male" "bachelors" "morethan20" "P3A" "no" "no" "green" "7" "1" "35to44" "Thank you!"
"1252" 1186 "PR" 410213087 "" "English11810" 11810 "y" "hco_thankyou.php" "" "24/03/2014" "18:29:06" "18:38:38" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 1202 12345 6 3 8 5 6 10 7 7 4 1 3 5 8 6 9 3 3 4 4 6 4 9 3 9 2 1 9 10 6 10 "" "" "" "" "" "" "" "" "" "" "none" "" "1" "" "" "" "" "1" "" "1" "swim with sting rays" "" "" "" "" "" "" "" "1" "" "" "1to2month" "5" "" "2" "" "2" "" "5" "" "5" "" "2" "" "4" "" "5" "" "5" "" "5" "" "female" "college" "morethan20" "T0M" "yes" "no" "noparty" "3" "4" "45to54" ""
"1253" 1189 "MR" 410036290 "" "English11813" 11813 "y" "hco_thankyou.php" "" "24/03/2014" "18:36:01" "18:41:15" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET CLR 1.1.4322)" "11" "English" 1205 54321 3 4 5 2 2 1 5 2 9 4 2 6 9 2 9 8 3 9 10 4 1 1 3 1 7 4 9 6 2 6 "" "" "" "" "" "" "" "" "" "" "30to49" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "Never" "5" "" "1" "" "4" "" "3" "" "5" "" "5" "" "5" "" "4" "" "5" "" "4" "" "male" "college" "morethan20" "a2a" "no" "no" "liberal" "8" "5" "25to34" ""
"1254" 1190 "BC" 410049913 "" "English11814" 11814 "y" "hco_thankyou.php" "" "24/03/2014" "18:36:16" "18:44:04" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; msn OptimizedIE8;ENCA)" "11" "English" 1206 12345 6 2 6 5 2 10 3 3 4 2 2 10 9 2 9 4 2 5 1 7 10 8 3 1 10 7 4 7 7 8 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "4" "" "2" "" "3" "" "5" "" "5" "" "5" "" "3" "" "5" "" "5" "" "5" "" "female" "HS" "morethan20" "v2v" "no" "no" "noparty" "9" "4" "35to44" ""
"1255" 1191 "ON" 410102780 "" "English11815" 11815 "y" "hco_thankyou.php" "" "24/03/2014" "18:39:33" "18:47:13" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "11" "English" 1207 54321 1 7 10 9 2 9 5 2 9 4 2 4 10 7 10 6 2 6 3 8 10 7 8 9 8 8 9 2 2 9 "" "" "" "" "" "" "" "" "" "" "none" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "1" "" "3" "" "4" "" "5" "" "5" "" "4" "" "4" "" "5" "" "5" "" "male" "graduate" "morethan20" "M2N" "no" "no" "CPC" "4" "1" "25to34" ""
"1256" 1192 "ON" 410197488 "" "English11816" 11816 "y" "hco_thankyou.php" "" "24/03/2014" "18:44:18" "18:52:22" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)" "11" "English" 1208 12345 5 6 9 8 3 8 9 7 9 2 1 9 4 6 4 1 3 1 7 7 9 3 3 10 6 3 8 10 7 10 "" "" "" "" "" "" "" "" "" "" "none" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "5" "" "2" "" "5" "" "5" "" "5" "" "4" "" "5" "" "5" "" "5" "" "female" "bachelors" "morethan20" "k2m" "dontknow" "no" "dontknow" "3" "2" "25to34" "Great survey but a little tricky. I would definitly like clean water as this will in turn lead to better carbon storage, marine life and protection of lands. Although aboriginal people are always preserving the land so I wish that section was not included. Unless they were the the target of analysis."
"1257" 1193 "ON" 410021919 "" "English11817" 11817 "y" "hco_thankyou.php" "" "24/03/2014" "18:45:46" "18:51:08" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "11" "English" 1209 54321 2 2 8 10 10 7 4 2 6 1 3 1 5 2 6 7 4 8 3 3 8 6 2 6 9 2 7 8 3 6 "" "" "" "" "" "" "" "" "" "" "10to29" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "4" "" "3" "" "2" "" "3" "" "4" "" "4" "" "5" "" "5" "" "4" "" "4" "" "male" "HS" "morethan20" "K0C" "no" "no" "dontknow" "4" "2" "45to54" ""
"1258" 1195 "ON" 410031461 "" "English11819" 11819 "y" "hco_thankyou.php" "" "24/03/2014" "18:53:45" "18:59:40" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MDDCJS)" "11" "English" 1211 54321 4 2 6 5 2 9 9 7 9 10 7 6 7 7 8 6 3 8 8 3 8 3 3 8 1 3 1 2 2 8 "" "" "" "" "" "" "" "" "" "" "10to29" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "5" "" "2" "" "5" "" "5" "" "5" "" "4" "" "5" "" "5" "" "5" "" "male" "graduate" "morethan20" "L3P" "no" "no" "liberal" "9" "4" "45to54" ""
